trip,cost
t333282728025,57.94114649552745
t35583500660,28.627841504004728
t117664376784,62.49538138085469
t261320757828,72.61491973824839
t147086054909,34.9030980406169
t201212228000,40.949096744888855
t242093929308,9.93461443837485
t391773145006,31.35448635156086
t68112899523,75.09813460234848
t190388149380,44.79353964218099
t164422084730,54.31295731400063
t336624989948,29.586760443216736
t58736830047,78.5557244572034
t71478693312,12.92510954579385
t327811745625,47.351818749526686
t232802670090,71.72357550569305
t195329635711,719.321314120159
t125494398496,47.42770681217579
t148521041298,70.79939268278115
t247152626882,43.80528985530211
t18094977450,75.33453050350762
t274910395344,65.82068089920575
t81501906693,23.82059508839021
t318959484166,37.90679930972252
t87665446320,40.53103475312136
t297679133260,7.28814924652844
t194229843990,63.02919562289839
t373397440644,23.095403096065578
t189665405218,21.19972116648342
t162185238728,35.81942687559631
t332669853075,82.46622740174647
t189023582484,44.51612317926602
t29968290417,35.76444680070963
t149908625160,1218.6103039934303
t345907631079,32.82672145352935
t14915795220,9.233966342943846
t49016270637,44.639397832696616
t7294955008,43.91567316665533
t267537320503,49.75772336136661
t324722476572,60.10360057537556
t331015180020,75.4875620419655
t207944993072,50.05579949070577
t95325349812,177.26479111754864
t132540117538,69.7548769481595
t189350541230,78.2805028832032
t46644901920,75.49885666514355
t107056040488,77.02789719420983
t52555594098,346.0800737715373
t56063216931,70.80090857654967
t379899226604,49.49634981958986
t127245751035,57.96888698866316
t351614019072,71.44167874122506
t45726758194,37.95942197539175
t307996246624,70.89545118344313
t131463269532,40.224181358770956
t165198186750,67.00111393026418
t228785718537,39.295249548354164
t383446154412,45.632675373278516
t101951620635,6.987431697221141
t181415422812,66.0259936932128
t255153142695,75.077727944163
t74944728768,38.74402578376487
t283691142327,71.07636235553176
t207743874822,65.30947435940574
t176464454661,46.400226458452096
t38758060900,36.98810915738793
t93729277218,42.6478072183915
t64452263628,29.257207092229027
t339375904791,37.96150573393298
t117364846944,65.81435405157674
t331877085805,78.44894188408577
t225410910058,45.56387499939869
t242689065228,31.35448635156086
t300754986380,50.65209223575291
t382685436870,73.22519516012905
t321967150890,12.681460011090048
t87381234493,44.738181557815864
t237388243840,69.74351135283347
t314968674540,29.81548412350717
t52568170452,48.64194758164158
t188786677250,62.532335362369196
t125541767124,550.437124846668
t130584438285,165.17917175009993
t194455912002,46.25816735278977
t82011409680,46.44561551083683
t3191107200,66.05373418634849
t248914937337,38.01440205027843
t115051517802,40.830619928500425
t94746274870,47.339192186854575
t333812018736,33.87799870745927
t348528545145,70.9246717323991
t77745108272,45.23234874986318
t268444731605,39.5732246791943
t64279332528,68.92675531417277
t346285073888,15.603313099281435
t151346337280,68.71651278865636
t310622112171,472.33394906052854
t266429818380,26.750897136034652
t157927093581,40.03580273279228
t318561880572,59.4986977063441
t11970435850,69.88187388010664
t25478151040,36.67245647373454
t337601234346,37.677861317658696
t247261286888,43.05286329222674
t201484872628,74.91060339299915
t203839825200,75.51088403185794
t259760313209,46.99042778131455
t91890434120,74.91893420077541
t323595787383,71.52222444703567
t238887157240,76.94699809967808
t79233102165,40.45550328375501
t119479509462,66.5695795833881
t343969149959,25.49136163988542
t292537093516,31.40750612152249
t83847512124,75.92846327100703
t233998671500,44.040006920851106
t167788782640,42.57717190831345
t222432131376,22.446949208149483
t246333056472,26.65237677509235
t157512995618,63.31114879313095
t310702631445,26.879654588260877
t278545131848,70.2651250865483
t6538220515,9.269641762064019
t244209366612,73.97859214275336
t305628788864,38.24541156915312
t281361376920,109.6564657346777
t366269059566,1931.1492008445798
t16211005686,50.37765963512998
t271225083895,63.531185012160456
t305454832656,40.31378759979964
t172139682000,45.974145295649194
t263331379164,23.82059508839021
t324654138096,48.10306584629767
t330028384320,48.36087541243805
t239304025759,40.87377262542263
t99165010140,75.52346322819582
t292061504623,1104.7675599130575
t313504831024,47.74578505737459
t8690233020,73.28158507171615
t15157160230,47.2533311198586
t85988945445,45.49357796918229
t286951753704,40.75323315605158
t290727611867,69.33049076493113
t45880027414,71.23107826089141
t214844244345,40.100431971166856
t18542476260,48.68228596221788
t212804084679,77.24611977942071
t94757410152,43.82453004129195
t51557388437,69.8781516015901
t209151130240,38.32530050150564
t247358080500,34.81807844325868
t189801366130,27.969099139279933
t208354090406,33.24358197213031
t256294024308,68.9959716764322
t181734773064,46.311244397561325
t348800249450,12.869751461428717
t208510048773,44.43787683404237
t389666730864,74.17246398733552
t263169803142,43.226380482273484
t125081179440,40.03580273279228
t360196401370,36.335766602258396
t96142142704,45.20018920045017
t237176223246,68.75753518553981
t384881488420,26.65237677509235
t207875936065,63.257880225365795
t195693472320,39.97374589112266
t6103237938,27.76150043353675
t144044727294,67.62433821767695
t121129516209,13.465509483270717
t48013176172,42.44460883559728
t219081498620,34.95611781057852
t348834171996,38.206596262877
t251637328296,768.691134933858
t209601806456,44.79353964218099
t184336563213,69.2681016659837
t34410521730,42.49866712676844
t6918902056,69.37559075053093
t161003407764,41.503675090988835
t253703823427,68.75753518553981
t83500363052,43.27372388837209
