trip,cost
t333282728025,57.584342779013724
t35583500660,28.975373999072676
t117664376784,62.6193337568336
t261320757828,72.62335876438786
t147086054909,34.862929788130714
t201212228000,40.79793742578916
t242093929308,9.881030687967943
t391773145006,31.398521366393222
t68112899523,74.90335349502189
t190388149380,44.8335202330778
t164422084730,54.76671768593098
t336624989948,29.530759295705046
t58736830047,78.65418974325013
t71478693312,13.011714776559035
t327811745625,47.43478998999772
t232802670090,71.83736224625473
t195329635711,722.926159989767
t125494398496,47.54801897920801
t148521041298,70.77005385481831
t247152626882,43.67254238858855
t18094977450,75.25995476591396
t274910395344,65.86712755897787
t81501906693,23.944955022527623
t318959484166,37.93009376191692
t87665446320,40.705176495213024
t297679133260,7.608947937168029
t194229843990,63.18551722978415
t373397440644,22.762712191038162
t189665405218,21.207567606862316
t162185238728,35.75541465544952
t332669853075,83.24106734467206
t189023582484,44.48650855008223
t29968290417,35.683708462000325
t149908625160,1215.1619635201528
t345907631079,32.75414861433792
t14915795220,9.248008962640135
t49016270637,44.63427601900944
t7294955008,43.94847722358645
t267537320503,49.794167771991894
t324722476572,60.1219392189622
t331015180020,75.43212406907845
t207944993072,49.65498447740855
t95325349812,176.84894066375477
t132540117538,69.8006066564528
t189350541230,78.28417996943364
t46644901920,75.50791984868505
t107056040488,77.02162758270062
t52555594098,345.30573817971396
t56063216931,70.7468822057553
t379899226604,49.443662885869145
t127245751035,57.66643697882865
t351614019072,71.51792036426488
t45726758194,37.933623722681226
t307996246624,70.82610541349891
t131463269532,40.388946148135474
t165198186750,67.04980089213404
t228785718537,39.37008075257064
t383446154412,45.54587755785508
t101951620635,6.912728871987035
t181415422812,66.10985582487788
t255153142695,75.17047102774556
t74944728768,38.720565595739856
t283691142327,71.04730211892799
t207743874822,65.68957680982982
t176464454661,46.397729806374485
t38758060900,36.84543206587658
t93729277218,42.59328227130513
t64452263628,29.235692588778086
t339375904791,37.83490745375848
t117364846944,65.91280370425517
t331877085805,78.44872555019718
t225410910058,45.49553765839075
t242689065228,31.398521366393222
t300754986380,50.06359113130419
t382685436870,73.21174919139264
t321967150890,12.704785639089945
t87381234493,44.74302266367356
t237388243840,69.79850967421947
t314968674540,29.784931697984053
t52568170452,48.720902837451646
t188786677250,62.55567840811331
t125541767124,548.8978531948184
t130584438285,166.05005035258904
t194455912002,46.277439160403674
t82011409680,46.44292532438814
t3191107200,66.14814776334026
t248914937337,38.00532991613042
t115051517802,40.71859747035373
t94746274870,47.41603507352983
